symptoms,disease,medicine,diet
"diarrhea,stomach cramps",Food Poisoning,"ORS, Ciprofloxacin","Banana, Rice, Toast"
"runny nose,sore throat",Common Cold,"Decongestants, Paracetamol","Soups, Warm water"
"cough,fatigue,fever",Flu,"Paracetamol, Vitamin C","Warm fluids, Citrus fruits"
"fatigue,high blood pressure,headache",Hypertension,"Amlodipine, Diuretics","Low salt, Leafy greens"
"slow growth,cold hands",Hypothyroidism,Levothyroxine,"Iodine-rich foods, Low sugar"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"runny nose,sore throat",Common Cold,"Decongestants, Paracetamol","Soups, Warm water"
"tiredness,fatigue,dry cough",COVID-19,"Paracetamol, Antivirals","High protein, Fluids"
"stiffness,joint pain,fatigue",Arthritis,"NSAIDs, Methotrexate","Omega-3, Low-fat dairy"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"weight gain,acne",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"numbness,tingling",Neuropathy,"Gabapentin, B vitamins","Whole grains, Nuts"
"joint pain,stiffness",Arthritis,"NSAIDs, Methotrexate","Omega-3, Low-fat dairy"
"pale skin,fatigue",Anemia,"Iron supplements, Folic acid","Green leafy veggies, Red meat"
"weight gain,acne",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"cough,fever",Flu,"Paracetamol, Vitamin C","Warm fluids, Citrus fruits"
"anxiety,fatigue,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"sneezing,itchy eyes",Allergy,"Antihistamines, Nasal sprays","Avoid allergens, Balanced diet"
"excessive thirst,frequent urination",Diabetes,"Metformin, Insulin","Low sugar, High fiber"
"fever,body ache,fatigue",Dengue,"Paracetamol, Fluid therapy","Papaya leaves, Hydration"
"diarrhea,stomach cramps",Food Poisoning,"ORS, Ciprofloxacin","Banana, Rice, Toast"
"high fever,rash",Measles,"Vitamin A, Paracetamol","Soft foods, Fluids"
"numbness,tingling",Neuropathy,"Gabapentin, B vitamins","Whole grains, Nuts"
"numbness,tingling",Neuropathy,"Gabapentin, B vitamins","Whole grains, Nuts"
"fatigue,headache,high blood pressure",Hypertension,"Amlodipine, Diuretics","Low salt, Leafy greens"
"anxiety,fatigue,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"anxiety,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"pale skin,fatigue",Anemia,"Iron supplements, Folic acid","Green leafy veggies, Red meat"
"diarrhea,stomach cramps",Food Poisoning,"ORS, Ciprofloxacin","Banana, Rice, Toast"
"slow growth,cold hands",Hypothyroidism,Levothyroxine,"Iodine-rich foods, Low sugar"
"anxiety,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"weight gain,acne",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"lower abdomen pain,burning urination,fatigue",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"headache,high blood pressure",Hypertension,"Amlodipine, Diuretics","Low salt, Leafy greens"
"fever,body ache",Dengue,"Paracetamol, Fluid therapy","Papaya leaves, Hydration"
"cough,fever",Flu,"Paracetamol, Vitamin C","Warm fluids, Citrus fruits"
"abdominal pain,fatigue,bloating",Acidity,"Antacids, Omeprazole","Avoid spicy food, Eat light"
"joint pain,fatigue,stiffness",Arthritis,"NSAIDs, Methotrexate","Omega-3, Low-fat dairy"
"weight loss,fatigue,chronic cough",Tuberculosis,"Isoniazid, Rifampicin","High-calorie, High-protein"
"shortness of breath,chest pain",Heart Disease,"Aspirin, Beta-blockers","Low salt, Lean protein"
"high fever,rash",Measles,"Vitamin A, Paracetamol","Soft foods, Fluids"
"headache,nausea",Migraine,"Sumatriptan, Ibuprofen","Caffeine control, Hydration"
"abdominal pain,fatigue,bloating",Acidity,"Antacids, Omeprazole","Avoid spicy food, Eat light"
"fever,body ache",Dengue,"Paracetamol, Fluid therapy","Papaya leaves, Hydration"
"excessive thirst,fatigue,frequent urination",Diabetes,"Metformin, Insulin","Low sugar, High fiber"
"shortness of breath,fatigue,chest pain",Heart Disease,"Aspirin, Beta-blockers","Low salt, Lean protein"
"high fever,rash",Measles,"Vitamin A, Paracetamol","Soft foods, Fluids"
"headache,high blood pressure",Hypertension,"Amlodipine, Diuretics","Low salt, Leafy greens"
"slow growth,cold hands",Hypothyroidism,Levothyroxine,"Iodine-rich foods, Low sugar"
"diarrhea,stomach cramps,fatigue",Food Poisoning,"ORS, Ciprofloxacin","Banana, Rice, Toast"
"runny nose,sore throat",Common Cold,"Decongestants, Paracetamol","Soups, Warm water"
"tiredness,dry cough",COVID-19,"Paracetamol, Antivirals","High protein, Fluids"
"weight gain,acne,fatigue",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"weight loss,chronic cough",Tuberculosis,"Isoniazid, Rifampicin","High-calorie, High-protein"
"numbness,tingling",Neuropathy,"Gabapentin, B vitamins","Whole grains, Nuts"
"sneezing,itchy eyes",Allergy,"Antihistamines, Nasal sprays","Avoid allergens, Balanced diet"
"tiredness,dry cough",COVID-19,"Paracetamol, Antivirals","High protein, Fluids"
"cough,fever",Flu,"Paracetamol, Vitamin C","Warm fluids, Citrus fruits"
"pale skin,fatigue",Anemia,"Iron supplements, Folic acid","Green leafy veggies, Red meat"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"weight gain,acne",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"slow growth,cold hands",Hypothyroidism,Levothyroxine,"Iodine-rich foods, Low sugar"
"runny nose,sore throat",Common Cold,"Decongestants, Paracetamol","Soups, Warm water"
"weight loss,chronic cough",Tuberculosis,"Isoniazid, Rifampicin","High-calorie, High-protein"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"fever,body ache",Dengue,"Paracetamol, Fluid therapy","Papaya leaves, Hydration"
"pale skin,fatigue",Anemia,"Iron supplements, Folic acid","Green leafy veggies, Red meat"
"joint pain,stiffness",Arthritis,"NSAIDs, Methotrexate","Omega-3, Low-fat dairy"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"headache,high blood pressure,fatigue",Hypertension,"Amlodipine, Diuretics","Low salt, Leafy greens"
"runny nose,sore throat",Common Cold,"Decongestants, Paracetamol","Soups, Warm water"
"weight gain,acne",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"shortness of breath,chest pain",Heart Disease,"Aspirin, Beta-blockers","Low salt, Lean protein"
"sneezing,fatigue,itchy eyes",Allergy,"Antihistamines, Nasal sprays","Avoid allergens, Balanced diet"
"weight loss,chronic cough",Tuberculosis,"Isoniazid, Rifampicin","High-calorie, High-protein"
"anxiety,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"fever,body ache",Dengue,"Paracetamol, Fluid therapy","Papaya leaves, Hydration"
"anxiety,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"anxiety,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"numbness,tingling",Neuropathy,"Gabapentin, B vitamins","Whole grains, Nuts"
"abdominal pain,bloating",Acidity,"Antacids, Omeprazole","Avoid spicy food, Eat light"
"abdominal pain,bloating",Acidity,"Antacids, Omeprazole","Avoid spicy food, Eat light"
"high fever,rash",Measles,"Vitamin A, Paracetamol","Soft foods, Fluids"
"lower abdomen pain,burning urination",UTI,"Antibiotics, Cranberry tablets","Plenty of water, Cranberry juice"
"fatigue,high blood pressure,headache",Hypertension,"Amlodipine, Diuretics","Low salt, Leafy greens"
"anxiety,sleeplessness",Depression,"SSRIs, Benzodiazepines","Omega-3, Green vegetables"
"slow growth,cold hands",Hypothyroidism,Levothyroxine,"Iodine-rich foods, Low sugar"
"fatigue,nausea,headache",Migraine,"Sumatriptan, Ibuprofen","Caffeine control, Hydration"
"slow growth,cold hands",Hypothyroidism,Levothyroxine,"Iodine-rich foods, Low sugar"
"high fever,rash",Measles,"Vitamin A, Paracetamol","Soft foods, Fluids"
"headache,nausea",Migraine,"Sumatriptan, Ibuprofen","Caffeine control, Hydration"
"high fever,rash",Measles,"Vitamin A, Paracetamol","Soft foods, Fluids"
"headache,nausea",Migraine,"Sumatriptan, Ibuprofen","Caffeine control, Hydration"
"runny nose,sore throat",Common Cold,"Decongestants, Paracetamol","Soups, Warm water"
"abdominal pain,bloating",Acidity,"Antacids, Omeprazole","Avoid spicy food, Eat light"
"joint pain,stiffness",Arthritis,"NSAIDs, Methotrexate","Omega-3, Low-fat dairy"
"shortness of breath,chest pain",Heart Disease,"Aspirin, Beta-blockers","Low salt, Lean protein"
"weight gain,acne,fatigue",PCOS,"Metformin, Hormonal therapy","Low carb, High fiber"
"abdominal pain,bloating",Acidity,"Antacids, Omeprazole","Avoid spicy food, Eat light"
